,Style,Model,Grade,Stories,Occupancy,Exterior_Wall1,Exterior_Wall2,Roof_Structure,Roof_Cover,Interior_Wall1,Interior_Wall2,Interior_Flr1,Interior_Flr2,Heat_Fuel,Heat_Type,AC_Type,Total_Bedrooms,Total_Full_Bthrms,Total_Half_Baths,Total_Xtra_Fixtrs,Total_Rooms,Bathrm_Style,Kitchen_Style,Base_Area,Cndtn,Fdtn_Type,Bsmt_Type,Total_Kitchens,Fireplaces,Half_Bath_Grade,FndtnCndtn,Basement,PID,Location,Image,Year_Built,Living_Area,Replacement_Cost,Building_percent_Good,Less_Depreciation,Grade,Roof_Structure,Interior_Floor1,Interior_Floor2,Ext_Qual,Int_Qual,Struct_Class,Bldg_Use,Bath_Grade,Elevator,Sprinkler,1st_Floor_Use,Heat_AC,Frame_Type,Baths_Plumbing,Ceiling_Wall,Rooms_Prtns,Wall_Height,percent_Comn_Wall,Interior_Wall1,Interior_Wall2,Heat_Sys,Ttl_Bedrms,Ttl_Bathrms,Ttl_Half_Bths,Xtra_Fixtres,Bath_Style,Kitchen_Style,Kitchen_Type,Kitchen_Func,Primary_Bldg_Use,Pct_Com_Int,Atypical,Park_Type,Park_Own,Park_Tandem,FIREPLACES,Floor_Number,Base_Flr_Pm,End_Unit,Attic_Fin_Pct,Bsmt_Fin_Pct,Special_Feature,Kitchen_Grade,Residential_Units,Exterior_Wall1,Exterior_Wall2,Cmrcl_Units,ResCom_Units,Section_num,Parking_Spaces,Section_Style,Foundation,Security,Condo_Appeal,Remod_Ext,Super,Grade2,acctnum
33,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55059,0 CHAMBERLAIN PKWY,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\11\20.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-02-06
34,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55006,0 BURNCOAT ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\08\49\21.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-02-07
35,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54342,0 CHANDLER ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\08\44\29.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-13-01
36,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51805,0 CHATHAM ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\10\45\80.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-13-02
37,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54466,0 CHILMARK ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\02\65\16-017-00011.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-13-03
38,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54465,0 CHILMARK ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\02\65\16-017-00010.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-13-04
39,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54825,0 CLARENDON ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\07\33.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-13-05
40,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55813,0 CLARK ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\04\62\36-047-00003.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-13-06
41,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53075,0 CHANDLER ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\08\54\25.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-010-14+19
42,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54311,0 CIRCUIT AVE WEST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\08\37\94.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-011-00001
43,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55177,0 COONAN ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//default.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-011-00002
44,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53626,0 COES SQ,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\12\83.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-011-00003
45,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54929,0 DODGE AVE,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\08\42.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-011-00017
46,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56463,0 DAWSON RD,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\12\03.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-011-00020
47,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56364,0 CORINTH DR,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\13\51.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-011-00022
48,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55186,0 CLOVER ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\03\56\27-008-00011.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-011-11+21
49,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55137,0 COLLEGE HILL RD,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\03\51\26-008-28-30.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-011-15+16
50,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55176,0 COONAN ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\03\55\26-16A-00114.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-012-00001
51,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56090,0 DUNKIRK AVE,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\15\21.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-012-00004
52,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51061,0 EAST KENDALL ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\01\02\01-018-0000C.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-012-00005
53,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56147,0 ECHO ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\07\07\55.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-012-00006
54,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57531,0 ELLEN ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\0133\0%20ELLEN%20ST%20MBLU%2034-29B-003-2_133777.JPG,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-012-00007
55,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29350,0 ELLEN ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\0133\22%20ELLEN%20ST_133778.JPG,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-012-00008
56,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55727,0 ELLEN ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\09\37\45.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-012-00009
57,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56594,0 EASTHAM ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//default.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-012-00011
58,Typical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55979,0 EMPIRE ST,https://images.vgsi.com/photos2/WorcesterMAPhotos//\00\06\98\96.jpg,,0,$0 ,,$0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01-012-00013
